TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g001682,쌈장 고추 과자 음료수 불판 반찬 등,1,3,3148302424.0,자운대 쇼핑타운,대전 유성구 자운로97번길 410,,4301380.0,3020013500.0,2023-06-02 18:08,1,33540,패밀리요구르트;(NEW)양반차돌육개장;비비고설렁탕;보석바;종량제봉투,
g_g001695,커피,1,1,6810601417.0,이디야,서울 서초구 신반포로 176,,3121017.0,1165010700.0,2023-06-04 09:46,1,4200,(L) ICED 카페 라떼,
g_g001697,간식 및 저녁식사 재료,1,4,4098211957.0,광주농협하나로클럽 매곡점,광주 북구 매곡로 48,광주 북구 매곡동 214-19,3162014.0,2917011700.0,2023-06-04 13:50,1,34430,코카콜라;코크고티카빈티지스위트아메리카노(캔);빠삭어포튀각;롯데 아이시스;팔도)뽀로로샤인머스캣맛,
g_g001701,음식,1,3,2208160348.0,홈플러스,서울 강서구 화곡로 398,서울 강서구 등촌동 639-11,3005069.0,1150010200.0,2023-06-01 11:39,1,37170,오뚜기 참깨라면 소컵;한끼신선 깐마늘(봉);해태 홈런볼 초코;동원 그릴리 극한 직화 후랑크 치;보리먹고 자란 돼지 등갈비(캐나다),
g_g001768,우유 컵라면 음료,0,5,,이마트24,251-2,,,,,1,9200,,4717014000.0
g_g001795,새우볶음밥; 음료수; 피자(둘째날 아침 차안에서 먹음),0,4,,이마트,401,,,,,1,28940,,4167010200.0
g_g001819,여행용 가방,1,2,1208800767.0,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011.0,1171010200.0,2023-06-01 00:00,1,14690,베이스알파 에센셜 대용량 여행용 보스턴백 블랙,
g_g001829,캔음료수,0,1,,송산휴게소,455-13,,,,,1,4100,,4150025026.0
g_g001833,삼겹살 음료 과자,1,4,4029161593.0,돼지랑한우랑,전북 전주시 덕진구 솔내로 128,전북 전주시 덕진구 송천동1가 143-26,3267034.0,4511312100.0,2023-06-05 12:52,1,28900,돼지생삼겹살(국산),
g_g001833,삼겹살 음료 과자,2,4,3478601727.0,유한회사듬뿍,전북 전주시 덕진구 솔내로 132,전북 전주시 덕진구 송천동1가 104,3267034.0,4511312100.0,2023-06-05 12:57,1,22290,코카콜라제로;포카칩오리지날;생생우동용기;재활용봉투;남양이오요구르트,
g_g001856,음료,0,2,,스타벅스,경기 남양주시 경춘로 1269,,,,,4,6500,,4136010200.0
g_g001857,커피,0,1,,컴포즈커피,458-8,,,,,1,1500,,2915510600.0
g_g001882,음료수;삶은계란,0,2,,gs편의점,장선배가1길9-4,,,,,1,9300,,4615013300.0
g_g001884,빵.음료수.커피,0,2,,마트,,,,,,3,15000,,1165010800.0
