place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2308240006,제주동문시장,2001아울렛 구로점,부산광역시,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308240007,제주동문시장,제주동문시장,강원도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308240009,서귀포 매일 올레시장,서귀포매일올레시장,강원도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308250001,제미니 국수,제미니국수,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308250002,강문해변,2001아울렛 구로점,서울특별시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308250003,협재해수욕장,협재해수욕장,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308250004,속초해수욕장,속초해수욕장,충청남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308250005,서귀포 매일 올레시장,2001아울렛 구로점,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308250006,23번 자매 실내 마차,23번자매실내마차,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308250007,대천해수욕장,대천해수욕장,강원도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308250008,협재해수욕장,협재해수욕장,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308250009,공주 산성시장 문화공원,공주산성시장 문화공원,강원도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308250010,1943 서귀포 명동 노점,1943 서귀포명동로점,강원도,식당/카페,실내,11,5,Summer,1;11;12;13;2
2308250011,BIFF 거리,2001아울렛 구로점,강원도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Summer,1;11;12;13;2
2308250012,ZARA 강남역점,ZARA 강남역점,강원도,식당/카페,실내,11,4,Summer,1;11;12;13;2
2308250014,과일 한입,성심당 케익부띠끄,경상북도,식당/카페,실내,11,2,Summer,1;11;12;2;21
2308250016,국수 한 그릇,국수한그릇,경상북도,식당/카페,실내,11,4,Summer,1;11;12;2;21
2308260001,아베베 베이커리,아베베베이커리,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;2
2308260002,광명동굴,광명동굴,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308260003,아쿠아 필드 하남,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308260004,대천해수욕장,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308260005,송도 맥주축제,2001아울렛 구로점,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308260006,속초 항아리 물회,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308260007,대전엑스포 아쿠아리움,2001아울렛 구로점,서울특별시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308260008,국립세종수목원,2001아울렛 구로점,강원도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308260009,광안리해수욕장,광안리해수욕장,강원도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308260010,광안리해수욕장,광안리해수욕장,경상북도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308260011,가미,2001아울렛 구로점,부산광역시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308260012,광주예술의 거리,SK만재LPG충전소,부산광역시,식당/카페,실내,11,4,Summer,1;11;12;13;2
2308260013,GS25 수원 행리단길점,GS25 수원행리단길점,부산광역시,상점,실내,10,5,Summer,1;11;12;2;21
2308270001,지린성,지린성,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308270002,김녕해수욕장,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308270003,국립중앙박물관,국립중앙박물관,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308270004,G 타워,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308270005,광안리해수욕장,광안리해수욕장,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308270006,대릉원,대릉원,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
